cod_manzana,municipio,dist_salud_m,score_salud,dist_educ_m,score_educacion,dist_via_m,score_via,dist_finca_m,en_finca,score_economia
0583720030803200010114,Turbo,13217.0,0.05,1073.0,0.6,13479.0,0.05,9596.0,0,0.15
0583720050603700010108,Turbo,13260.0,0.05,3745.0,0.15,16490.0,0.05,25700.0,0,0.15
0514710000000000010506,Carepa,988.0,0.7,95.0,1.0,464.0,0.7,944.0,0,0.55
0514710000000000010527,Carepa,1017.0,0.5,154.0,1.0,386.0,0.7,860.0,0,0.55
0514710000000000010705,Carepa,652.0,0.7,225.0,1.0,445.0,0.7,1256.0,0,0.35
0514710000000000020216,Carepa,1273.0,0.5,532.0,0.8,1212.0,0.45,1626.0,0,0.35
0514710000000000020318,Carepa,786.0,0.7,36.0,1.0,896.0,0.7,1757.0,0,0.35
0514710000000000020503,Carepa,267.0,0.85,308.0,0.8,392.0,0.7,1692.0,0,0.35
0514710000000000030425,Carepa,285.0,0.85,465.0,0.8,264.0,0.9,2026.0,0,0.35
0514720011001000010122,Carepa,4373.0,0.25,749.0,0.6,473.0,0.7,1813.0,0,0.35
0517210000000000010324,Chigorodó,10111.0,0.05,58.0,1.0,984.0,0.7,1669.0,0,0.35
0517210000000000010537,Chigorodó,10375.0,0.05,272.0,1.0,1001.0,0.45,1979.0,0,0.35
0517210000000000020213,Chigorodó,10212.0,0.05,340.0,0.8,537.0,0.7,2361.0,0,0.35
0517210000000000020408,Chigorodó,10404.0,0.05,529.0,0.8,800.0,0.7,2347.0,0,0.35
0517210000000000050201,Chigorodó,9385.0,0.05,50.0,1.0,312.0,0.7,1607.0,0,0.35
0517210000000000050701,Chigorodó,9603.0,0.05,303.0,0.8,477.0,0.7,1296.0,0,0.35
0517210000000000060622,Chigorodó,10378.0,0.05,145.0,1.0,457.0,0.7,2005.0,0,0.35
0517210000000000060818,Chigorodó,10694.0,0.05,191.0,1.0,888.0,0.7,2643.0,0,0.35
0517210000000000061009,Chigorodó,10784.0,0.05,279.0,1.0,786.0,0.7,2429.0,0,0.35
0566510000000000011003,San Pedro de Urabá,1396.0,0.5,891.0,0.6,29852.0,0.05,39134.0,0,0.15
0583720110201800010111,Turbo,14033.0,0.05,3265.0,0.15,11737.0,0.05,13050.0,0,0.15
0583720110201800010316,Turbo,13916.0,0.05,3391.0,0.15,11934.0,0.05,12872.0,0,0.15
0504520020500200010216,Apartadó,3627.0,0.25,423.0,0.8,2264.0,0.45,935.0,0,0.55
0504520010101400010101,Apartadó,11029.0,0.05,110.0,1.0,3790.0,0.2,1001.0,0,0.35
0505110000000000010228,Arboletes,201.0,0.85,246.0,1.0,85070.0,0.05,87778.0,0,0.15
0514710000000000010605,Carepa,809.0,0.7,181.0,1.0,636.0,0.7,1285.0,0,0.35
0514710000000000030616,Carepa,444.0,0.85,531.0,0.8,391.0,0.7,2186.0,0,0.35
0517220060501400010102,Chigorodó,12678.0,0.05,2418.0,0.35,3110.0,0.2,2416.0,0,0.35
0517220060501400010103,Chigorodó,12682.0,0.05,2356.0,0.35,3038.0,0.2,2582.0,0,0.35
0549010000000000010334,Necoclí,37553.0,0.05,140.0,1.0,37810.0,0.05,33940.0,0,0.15
0549010000000000010822,Necoclí,38242.0,0.05,431.0,0.8,38502.0,0.05,34620.0,0,0.15
0549020040400900010123,Necoclí,28219.0,0.05,6019.0,0.05,49467.0,0.05,47125.0,0,0.15
0583720090700100010311,Turbo,243.0,0.85,537.0,0.8,378.0,0.7,682.0,0,0.55
0583720090700100020206,Turbo,297.0,0.85,228.0,1.0,327.0,0.7,1132.0,0,0.35
0583720090700100020371,Turbo,723.0,0.7,617.0,0.8,405.0,0.7,1207.0,0,0.35
0583720100700200020218,Turbo,9690.0,0.05,202.0,1.0,349.0,0.7,976.0,0,0.55
0583720090600300010114,Turbo,7640.0,0.05,27.0,1.0,72.0,1.0,3300.0,0,0.15
0583720030700600010107,Turbo,15600.0,0.05,123.0,1.0,15854.0,0.05,12006.0,0,0.15
0583720100400800010405,Turbo,4195.0,0.25,366.0,0.8,470.0,0.7,681.0,0,0.55
0583720070201200010115,Turbo,18043.0,0.05,88.0,1.0,12297.0,0.05,21035.0,0,0.15
0504520010101600010107,Apartadó,8757.0,0.05,1330.0,0.6,3903.0,0.2,170.0,0,0.75
0505110000000000010218,Arboletes,49.0,1.0,41.0,1.0,84804.0,0.05,87497.0,0,0.15
0505110000000000010705,Arboletes,187.0,1.0,575.0,0.8,84844.0,0.05,87642.0,0,0.15
0505110000000000010908,Arboletes,114.0,1.0,778.0,0.6,85091.0,0.05,87914.0,0,0.15
